Year	Diesel (ton)
1966	932797
1967	933414
1968	870645
1969	891743
1970	754425
1971	1005158
1972	911894
1973	942106
1974	959132
1975	784162
1976	792489
1977	808692
1978	982565
1979	940202
1980	816317
1981	948510
1982	1094526
1983	1213396
1984	1372731
1985	1255976
1986	1324066
1987	1467899
1988	1503363
1989	1618672
1990	1729586
1991	1864521
1992	1903362
1993	2099522
1994	2251479
1995	1768603
1996	1907514
1997	1937154
1998	1916423
1999	1602675
2000	1943109
2001	2059762
2002	1934633
2003	2235472
2004	2243462
2005	2541478
2006	2605807
2007	2869423
2008	2661659
2009	3079239
2010	2787720
2011	2646879
2012	2439415
2013	3046229
2014	3043197
2015	3333391
2016	3756795
